year,A,Psi,sR,sO,sG,gen_total,informal,Q_HAUL,Q_HAUL_R,Q_HAUL_O,Q_HAUL_G,Q_MRF,Q_CMP,Q_WTE,Q_LF,Q_mat,Q_cmp,Q_comb,Q_ash,E_WTE,S_LF,S_ENV,gen_to_mun,mun_to_haul,tipping,rev_mat,rev_E,landfill_tax,net_MUN,net_HAUL,net_T,GHG_dir,GHG_net,E_net,D_climate,D_air,D_env,D_NC,D_LF,mass_residual
2034,57.319395,34.391638,0.45,0.35,0.20000000000000007,2716217.679247517,0.0,2716217.6792475176,1222297.9556613828,950676.1877366309,543243.5358495036,192350,30000,1400000,1420255.6792475171,176962.0,18000.000000000004,1092000.0,308000.0,434000.0,12860918.380567146,0.0,19038648768.26566,23177485457.019066,1689832839.6237586,15926580.0,19530000.0,85215340.75485103,-4138836688.7534065,21384436345.5839,1519935436.8877196,1528648.7863221732,1156790.5863221732,366751.7216037624,219790211.40121293,324586843.7415168,544377055.1427298,0.07509044711633872,0.4771200813180131,0.0
2035,64.038977,38.423387,0.45,0.35,0.20000000000000007,2741335.2013302683,0.0,2741335.2013302683,1233600.8405986207,959467.3204655938,548267.0402660539,192350,30000,1400000,1445373.2013302688,176962.0,18000.000000000004,1092000.0,308000.0,434000.0,14281174.059814664,0.0,19598353621.350357,23860581592.378654,1702391600.6651344,15926580.0,19530000.0,86722392.07981613,-4262227971.0282974,22054019254.06297,1530359208.5520616,1544598.4128447208,1172740.2128447208,366626.13399334863,222820640.44049695,324669731.5643899,547490372.0048869,0.07440242984550915,0.4727484619068537,-4.656612873077393e-10
2036,70.96014600000001,42.576088999999996,0.45,0.35,0.20000000000000007,2766634.1540483613,0.0,2766634.1540483613,1244985.3693217626,968321.9539169264,553326.8308096725,192350,30000,1400000,1470672.1540483613,176962.0,18000.000000000004,1092000.0,308000.0,434000.0,15726547.261144932,0.0,20175402904.982273,24562178019.641354,1715041077.0241807,15926580.0,19530000.0,88240329.24290168,-4386775114.6590805,22742004844.763336,1540858273.93007,1560663.2478207094,1188805.0478207094,366499.6392297582,225872959.0859348,324753218.1083596,550626177.1942943,0.07372207116779297,0.46842550472517097,0.0
2037,78.08895000000001,46.85337199999999,0.26549926496219567,0.18454773295730417,0.5499530020805001,2792111.532555177,0.0,2792111.532555177,741303.5595858691,515277.85349700204,1535530.1194723055,192350,30000,1400000,1496149.5325551769,176962.0,18000.000000000004,1092000.0,308000.0,434000.0,17197219.415193293,0.0,9353381133.724985,25282569927.28713,1727779766.2775884,15926580.0,19530000.0,89768971.95331061,-15929188793.562143,23448689922.772446,1551431386.0103984,1576841.3831725372,1204983.1831725372,366372.25233722414,228946804.8027821,324837293.4574321,553784098.2602142,0.07304937414636367,0.46415122923618013,0.0
2038,85.43161900000001,51.25897299999999,0.45,0.35,0.20000000000000007,2817768.7305821665,0.0,2817768.7305821665,1267995.928761975,986219.055703758,563553.7461164334,192350,30000,1400000,1521806.7305821665,176962.0,18000.000000000004,1092000.0,308000.0,434000.0,18693368.94774847,0.0,21377988693.61731,26024911995.65689,1740608365.2910833,15926580.0,19530000.0,91308403.83492999,-4646923302.039581,24177228418.603683,1562079123.1915991,1593133.7039196757,1221275.5039196757,366243.96634708915,232042345.7447384,324921962.21092117,556964307.9556596,0.07238422294432245,0.45992489941935266,0.0
2039,92.99456800000002,55.79674199999999,0.45,0.35,0.20000000000000007,2843604.8440904883,0.0,2843604.8440904883,1279622.1798407198,995261.6954316709,568720.9688180978,192350,30000,1400000,1547642.8440904887,176962.0,18000.000000000004,1092000.0,308000.0,434000.0,20215175.678330638,0.0,22005236085.994247,26789601236.17649,1753526422.0452442,15926580.0,19530000.0,92858570.64542933,-4784365150.182243,24928017830.05581,1572801110.2975526,1609539.6359974602,1237681.4359974603,366114.7857795475,235159472.83951744,325007221.38549864,560166694.2250161,0.07172656229780623,0.4557461641315026,-4.656612873077393e-10
2040,100.78440500000002,60.470643999999986,0.45,0.35,0.20000000000000007,2869621.130108678,0.0,2869621.130108678,1291329.5085489051,1004367.3955380372,573924.2260217357,192350,30000,1400000,1573659.1301086778,176962.0,18000.000000000004,1092000.0,308000.0,434000.0,21762818.522421125,0.0,22651497871.56936,27574189439.214283,1766534565.054339,15926580.0,19530000.0,94419547.80652067,-4922691567.644924,25698609271.215813,1583597868.9951012,1626059.9776190105,1254201.7776190105,365984.7043494566,238298337.747612,325093075.12935865,563391412.8769706,0.07107628176416292,0.45161432162681336,0.0
2041,108.80793700000002,65.28476299999998,0.45,0.35,0.20000000000000007,2895814.3296859693,0.0,2895814.3296859693,1303116.4483586862,1013535.0153900892,579162.8659371941,192350,30000,1400000,1599852.3296859693,176962.0,18000.000000000004,1092000.0,308000.0,434000.0,23336477.652529802,0.0,23315359494.033615,28384772059.58187,1779631164.8429847,15926580.0,19530000.0,95991139.78115815,-5069412565.548256,26495099950.21082,1594468046.819677,1642692.6593505903,1270834.4593505904,365853.73835157015,241458547.27661216,325179512.6879637,566638059.9645759,0.07043338307608908,0.447529382914732,0.0
2042,117.07217500000002,70.24330599999999,0.45,0.35,0.20000000000000007,2922185.5725089335,0.0,2922185.5725089335,1314983.5076290201,1022764.9503781267,584437.1145017869,192350,30000,1400000,1626223.572508934,176962.0,18000.000000000004,1092000.0,308000.0,434000.0,24936329.98221577,0.0,23998156795.67237,29216011353.944317,1792816786.254467,15926580.0,19530000.0,97573414.35053603,-5217854558.271946,27312151515.93451,1605412112.5912075,1659438.398543173,1287580.198543173,365721.88213745534,244640237.72320288,325266537.78927946,569906775.5124824,0.06979775751369618,0.4434906571957752,-4.656612873077393e-10
2043,125.58434000000001,75.35060499999999,0.45,0.35,0.20000000000000007,2948735.9212310985,0.0,2948735.9212310985,1326931.1645539943,1032057.5724308843,589747.1842462198,192350,30000,1400000,1652773.9212310985,176962.0,18000.000000000004,1092000.0,308000.0,434000.0,26562553.554724704,0.0,24700233880.988358,30071208924.71474,1806091960.615549,15926580.0,19530000.0,99166435.27386591,-5370975043.726383,28153064999.092407,1616430507.3109057,1676297.8699817476,1304439.6699817476,365589.1303938445,247843537.29653206,325354153.94006264,573197691.2365947,0.06916930015043388,0.4394974777730979,0.0
2044,134.35187000000002,80.61112299999999,0.45,0.35,0.20000000000000007,2975461.939133196,0.0,2975461.939133196,1338957.8726099383,1041411.6786966186,595092.3878266395,192350,30000,1400000,1679499.9391331961,176962.0,18000.000000000004,1092000.0,308000.0,434000.0,28215327.475955803,0.0,18459319551.09148,30950755090.863506,1819454969.566598,15926580.0,19530000.0,100769996.34799176,-12491435539.772026,29018232567.609848,1627521804.7402763,1693268.8913495797,1321410.6913495797,365455.50030433404,251068031.35642016,325442349.79913956,576510381.1555598,0.06854801176163514,0.4355498495731175,0.0
